protocol,seed,rotation,system,n,verifier,features,heads,routing,platt,isotonic
A,17,6,fixed::qwen30_fast,821,259.3096740691382,0.0,0.0,0.0,8.341168443673494e-05,3.373569975653606e-05
A,17,6,fixed::qwen30_judge,821,610.3665917161691,0.0,0.0,0.0,8.699755285311849e-05,2.85310592745112e-05
A,17,7,OURS,816,74.91524552731825,28.297288938102056,0.48492327939539775,0.00017619731806917116,0.00018119852243484382,3.2883583437925315e-05
A,17,7,OURS_legacy_hp,816,68.63785354674773,28.297288938102056,0.49269437623283296,0.00017896202146349584,0.00018066789469266237,3.445098164043955e-05
A,17,7,fixed::factcc,816,40.22830255259988,0.0,0.0,0.0,8.315686607281404e-05,3.3745088919257634e-05
A,17,7,fixed::factkb,816,39.98438069349647,0.0,0.0,0.0,8.172671240412027e-05,2.980515787117731e-05
A,17,7,fixed::hhem,816,175.6098924311564,0.0,0.0,0.0,8.439336870294795e-05,3.6099271371723244e-05
A,17,7,fixed::wecheck,816,356.9858014371301,0.0,0.0,0.0,8.46678934370478e-05,4.1118861796955265e-05
A,17,7,fixed::factcg,816,396.7283629435591,0.0,0.0,0.0,8.370711036738666e-05,3.894238747592431e-05
A,17,7,fixed::minicheck_dbta,816,375.07268941697157,0.0,0.0,0.0,8.306004947014884e-05,3.7019608676999664e-05
A,17,7,fixed::minicheck_ft5,816,383.11780003259986,0.0,0.0,0.0,8.947180878535351e-05,3.8511037322071694e-05
A,17,7,fixed::alignscore,816,612.5281937963925,0.0,0.0,0.0,8.33737894758016e-05,3.864828185589217e-05
A,17,7,fixed::lettuce_v2,816,64.8303757237348,0.0,0.0,0.0,8.100122096377662e-05,2.7627453057314543e-05
A,17,7,fixed::granite_guardian_3_1_2b,816,160.01508986304472,0.0,0.0,0.0,8.682352071285576e-05,3.8686266634613276e-05
A,17,7,fixed::granite_guardian_3_2_3b_a800m,816,229.3425735501931,0.0,0.0,0.0,8.582475286447352e-05,3.3764705471648815e-05
A,17,7,fixed::granite_guardian_3_2_8b_factuality,816,964.8364167104078,0.0,0.0,0.0,8.778555210857816e-05,3.1235293706641624e-05
A,17,7,fixed::granite_guardian_4_1_3b_factuality_lora,816,425.91083165543927,0.0,0.0,0.0,8.286395527915481e-05,3.584436319001457e-05
