system,coverage,selective_error
fixed::minicheck_dbta,0.30000000000000004,0.27003089598352215
fixed::minicheck_dbta,0.32,0.2753861003861004
fixed::minicheck_dbta,0.34,0.28145454545454546
fixed::minicheck_dbta,0.36000000000000004,0.28763948497854075
fixed::minicheck_dbta,0.38,0.29723577235772364
fixed::minicheck_dbta,0.4,0.29737248840803715
fixed::minicheck_dbta,0.42000000000000004,0.2958793230316409
fixed::minicheck_dbta,0.44,0.3072331460674158
fixed::minicheck_dbta,0.46,0.32599059771658834
fixed::minicheck_dbta,0.48000000000000004,0.34095299420476494
fixed::minicheck_dbta,0.5,0.35364647713226205
fixed::minicheck_dbta,0.52,0.3664289958407606
fixed::minicheck_dbta,0.54,0.3764167143674871
fixed::minicheck_dbta,0.56,0.38791390728476827
fixed::minicheck_dbta,0.5800000000000001,0.3963771976558338
fixed::minicheck_dbta,0.6,0.4013388259526261
fixed::minicheck_dbta,0.62,0.40353938185443666
fixed::minicheck_dbta,0.64,0.4045871559633028
fixed::minicheck_dbta,0.66,0.40795880149812735
fixed::minicheck_dbta,0.68,0.4118181818181818
fixed::minicheck_dbta,0.7000000000000001,0.4146578366445916
fixed::minicheck_dbta,0.7200000000000001,0.4201716738197424
fixed::minicheck_dbta,0.74,0.4257620041753654
fixed::minicheck_dbta,0.76,0.4283041886945912
fixed::minicheck_dbta,0.78,0.4297939778129953
fixed::minicheck_dbta,0.8,0.43167246040942453
fixed::minicheck_dbta,0.8200000000000001,0.43507912584777697
fixed::minicheck_dbta,0.8400000000000001,0.43767476085356877
fixed::minicheck_dbta,0.86,0.43859144807761413
fixed::minicheck_dbta,0.88,0.43728932584269653
fixed::minicheck_dbta,0.9,0.43540521978021973
fixed::minicheck_dbta,0.92,0.4336244541484716
fixed::minicheck_dbta,0.9400000000000001,0.4337278106508876
fixed::minicheck_dbta,0.9600000000000001,0.4361120051496621
fixed::minicheck_dbta,0.98,0.4417849258908862
fixed::minicheck_dbta,1.0,0.44267614338689737
fixed::minicheck_ft5,0.02,0.06307692307692306
fixed::minicheck_ft5,0.04,0.1821705426356589
fixed::minicheck_ft5,0.06,0.19587628865979384
fixed::minicheck_ft5,0.08,0.20772200772200772
fixed::minicheck_ft5,0.1,0.21635802469135804
fixed::minicheck_ft5,0.12000000000000001,0.23711340206185563
fixed::minicheck_ft5,0.13999999999999999,0.27019867549668874
fixed::minicheck_ft5,0.16,0.29652509652509657
fixed::minicheck_ft5,0.18,0.31116838487972515
fixed::minicheck_ft5,0.19999999999999998,0.3200927357032457
fixed::minicheck_ft5,0.22,0.334691011235955
fixed::minicheck_ft5,0.24,0.33693693693693694
fixed::minicheck_ft5,0.26,0.33947681331747914
fixed::minicheck_ft5,0.28,0.3368653421633554
fixed::minicheck_ft5,0.30000000000000004,0.33625128733264675
fixed::minicheck_ft5,0.32,0.33021235521235515
fixed::minicheck_ft5,0.34,0.3243636363636363
fixed::minicheck_ft5,0.36000000000000004,0.3157081545064378
fixed::minicheck_ft5,0.38,0.30959349593495933
fixed::minicheck_ft5,0.4,0.3043276661514683
fixed::minicheck_ft5,0.42000000000000004,0.3030169242089772
fixed::minicheck_ft5,0.44,0.3004915730337079
fixed::minicheck_ft5,0.46,0.3012088650100739
fixed::minicheck_ft5,0.48000000000000004,0.29954925949774636
fixed::minicheck_ft5,0.5,0.2964153275648949
fixed::minicheck_ft5,0.52,0.29304812834224603
