protocol,seed,rotation,beta,val_auroc,val_ms
A,11,7,0.2,0.8091927842565596,78.05440797295321
A,11,7,0.4,0.7483266520894072,69.40899093184218
A,11,7,0.6,0.57919703595724,57.20710217333379
A,11,7,0.8,0.5287900874635568,51.29049210903591
A,11,7,1.2,0.5309402332361516,51.01128470802661
A,11,7,1.6,0.5377186588921283,50.59555286847755
A,11,7,2.4,0.5377186588921283,50.59555286847755
A,11,7,3.2,0.5377186588921283,50.59555286847755
A,11,8,0.0,0.7160171545776618,170.41219898482538
A,11,8,0.1,0.7899185779103735,91.17502633232233
A,11,8,0.2,0.7793927528124805,77.23646085748018
A,11,8,0.4,0.7092640934800174,69.82839806850482
A,11,8,0.6,0.5829479768786127,62.79819002763656
A,11,8,0.8,0.5235999751382933,54.71376201960631
A,11,8,1.2,0.5257007893591895,54.59929201976955
A,11,8,1.6,0.52959164646653,54.34244180411607
A,11,8,2.4,0.52959164646653,54.34244180411607
A,11,8,3.2,0.52959164646653,54.34244180411607
A,11,9,0.0,0.7400574349662496,158.94699196878187
A,11,9,0.1,0.7594442032132003,83.12978923395178
A,11,9,0.2,0.7742717009434334,72.97814602475553
A,11,9,0.4,0.719274266766668,62.301409947338826
A,11,9,0.6,0.5565517309438281,52.82118510508298
A,11,9,0.8,0.5063553467808787,47.55612604179941
A,11,9,1.2,0.5224114790984091,47.40252286920373
